"ID";"Active(0/1)";"Name";"Categories (xyz)";"Price";"Description";"ImgSrc"
"27741";"1";"Gembird micro HDMI / HDMI (5.0m) [CC-HDMID-15]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ D (męski) Kolor: Czarny Długość przewodu: 5m";"http://www.esc.pl/images/kable/CC-HDMID-6_medium.jpg?osCsid=4ac2900419d7f1362fbe9c23295f6e74"
"6791";"1";"Gembird HDMI / HDMI V1.4 3D TV (1.0m) [CC-HDMI4-1M]";"260";"20.0";"Cena:  20zł &nbsp16,26zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 2x HDMI typ A (męski) Kolor: Czarny Długość przewodu: 1m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4_medium.jpg?osCsid=60da7310ccd78878b33465d42efbd263"
"6760";"1";"Gembird HDMI / DVI (1.8m) [CC-HDMI-DVI-6]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x DVI-D (męski) Kolor: Czarny Długość przewodu: 1.8m";"http://www.esc.pl/images/kable/HDMI-DVI_medium.jpg?osCsid=c141caf6f4c7f2889ad7102bee55ec94"
"17866";"1";"Gembird HDMI / HDMI V1.4 3D TV (1.8m) kątowy [CC-HDMI490-6]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x HDMI typ A (męski) kątowy 90', Kolor: Czarny Długość przewodu: 1,8m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4-90_medium.jpg?osCsid=86b56998c1eba25cc7ce040159a88b5b"
"30410";"1";"Gembird micro HDMI / HDMI (3.0m) [CC-HDMID-10]";"260";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski),1x HDMI typ D (męski) Kolor: Czarny Długość przewodu: 3m";"http://www.esc.pl/images/kable/CC-HDMID-6_medium.jpg?osCsid=0f30349d74c14094fecd14ac45d71a65"
"6772";"1";"Gembird DVI / DVI (1.8m) [CC-DVI-6C]";"260";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/akcesoria/CC-DVI-10_medium.jpg?osCsid=0e36f6d1328ab32461529b3cb7437ee5"
"15726";"1";"Gembird HDMI / HDMI V1.4 3D TV (4.5m) kątowy [CC-HDMI490-15]";"260";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące Specyfikacja: Producent: Gembird Rodzaj: Kabel Zastosowanie: Wideo Złącza: 1x HDMI typ A (męski), 1x HDMI typ A (męski) kątowy 90', Kolor: Czarny Długość przewodu: 4,5m Dodatkowe informacje: - Transfer danych do 10 Gb/sek. - Transfer w sieci Ethernet 100 Mb/sek. - HDMI Ethernet Channel transfer do 100 Mbps - Maksymalna rozdzielczość do 4096 x 2160 Pixeli (24Hz)";"http://www.esc.pl/images/kable/CC-HDMI4-90_medium.jpg?osCsid=b8f678dadb31717c43e381d136da11df"
"2025";"1";"4world PCI-E => Serial RS-232 (x2) [05335]";"358";"79.0";"Cena:  79zł &nbsp64,23zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: 4World Rodzaj: Kontroler Zastosowanie: Komputer PC Złącza: 2x R-232 Szybkość interfejsu: 150MB/s Obsługiwane systemy: Windows 98SE/ME/2000/XP";"http://www.esc.pl/images/kontrolery/5335_medium.jpg?osCsid=b51eada0dd5408b06773e3ef230c3467"
"5978";"1";"4world PCI-E => eSATAII + SATAII + ATA133 [05332]";"358";"69.0";"Cena:  69zł &nbsp56,10zł netto Gwarancja producenta: 12 miesięcy Specyfikacja: Producent: 4World Rodzaj: Kontroler Zastosowanie: Komputer PC Złącza: 1x ATA,1x SATA,1x E-SATA Szybkość interfejsu: 150MB/s > Obsługiwane systemy: Windows 98SE/ME/2000/XP";"http://www.esc.pl/images/kontrolery/express/kontroler05332.jpg?osCsid=51c50a809431b0c45517917257d4d439"
"5290";"1";"4world PCI-E => Parallel [05334]";"358";"79.0";"Cena:  79zł &nbsp64,23zł netto Gwarancja producenta: 12 miesięcy Typ magistrali: PCI-E 1x Wewnętrzne złącza: brak Zewnętrzne złącza: 1 x parallel Obsługiwane systemy operacyjne: Windows 98/ME/NT/2000/XP Dołączone oprogramowanie: sterowniki na CD";"http://www.esc.pl/images/kontrolery/express/kontroler05334.jpg?osCsid=a61d7e4dd91eb6dd7a70a351069ef6b7"
"56765";"1";"Arctic-Cooling F12 PWM";"187";"20.0";"Cena:  20zł &nbsp16,26zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/wentylatory/F12PWM_medium.jpg?osCsid=9ce4ffc3f02a00c6404e294ded465ffd"
"30462";"1";"SilentiumPC Sigma PRO 140 (10.9 dBA) [SPC136]";"187";"35.0";"Cena:  35zł &nbsp28,46zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/wentylatory/SPC136_medium.jpg?osCsid=bee4716e39e5bfe1ef7a0e8cae571846"
"16805";"1";"SilentiumPC Zephyr 92 (13,9 dBA)";"187";"15.0";"Cena:  15zł &nbsp12,20zł netto Gwarancja producenta: 24 miesiące Wymiary (mm): 92x92x25 Ilość obr./min.: 1300 Głośność (dB/A): 13,9 Przepływ powietrza: 33,77 CFM (57,41 m3h) Łożysko: FDB (Fluid Dynamic Bearing) Napięcie: 12V Natężenie: 0,14A Wtyczka: 3 pin, kabel w oplocie Żywotność: 50000 godz. Dodatki: śrubki + silikonowe podkładki";"http://www.esc.pl/images/wentylatory/zephyr80_medium.jpg?osCsid=9d9c7e3c606dbf279e0f3d38d24d223c"
"23521";"1";"Chieftec AF-0925S 90mm";"187";"15.0";"Cena:  15zł &nbsp12,20zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/wentylatory/AF-0925S90_medium.jpg?osCsid=1d3fa971108bd3e94fa5ad30f444dad1"
"31216";"1";"SilentiumPC Sigma PRO 120 (12.9 dBA) [SPC133]";"187";"25.0";"Cena:  25zł &nbsp20,33zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/wentylatory/SPC133_medium.jpg?osCsid=dff78cbeaecbdf64a0c39e737a78ac78"
"51035";"1";"Zalman ZM-F1 FDB Shark Fin 80mm";"187";"30.0";"Cena:  30zł &nbsp24,39zł netto Gwarancja producenta: 24 miesiące";"http://www.esc.pl/images/wentylatory/ZM-F1 FDB_medium.jpg?osCsid=cb38098678cfefb3a17fc084b0338e5a"
